"k","NCE","CE","NCE_TPE","OptimalRITR","Fitness"
0,0,0,NA,1,1
0.05,0,0.0499999655463881,0,1,0.950000034453612
0.1,0,0.0999999310927763,0,1,0.900000068907224
0.15,0.0163316582914572,0.131303470022449,0.110621763790068,0.87,0.852364871686094
0.2,0.0375722543352601,0.150332860193457,0.19995333511541,0.74,0.812094885471283
0.25,0.0564516129032258,0.166716624393198,0.252955409726358,0.65,0.776831762703577
0.3,0.0716783216783217,0.183263555125714,0.281155542498097,0.59,0.745058123195964
0.35,0.0864661654135339,0.19763248725274,0.304352606399385,0.54,0.715901347333726
0.4,0.1,0.211223396263198,0.321312604388621,0.5,0.688776603736802
0.45,0.115384615384615,0.221335391572255,0.342672288550394,0.46,0.663279993043129
0.5,0.123893805309734,0.236967864415747,0.343327695080456,0.44,0.639138330274518
0.55,0.13785046728972,0.246026427687483,0.359100714560865,0.41,0.616123105022798
0.6,0.148058252427185,0.257868303994265,0.364741478686269,0.39,0.594073443578551
0.65,0.153465346534653,0.273701291118233,0.359263418552267,0.38,0.572833362347114
0.7,0.164948453608247,0.282679292102173,0.368494703889414,0.36,0.55237225428958
0.75,0.171052631578947,0.296463326355997,0.36587549296606,0.35,0.532484042065055
0.8,0.184065934065934,0.302705538354313,0.378136239477533,0.33,0.513228527579753
0.85,0.191011235955056,0.31452628942805,0.377837898008272,0.32,0.494462474616894
0.9,0.198275862068966,0.325577664242915,0.378494850392436,0.31,0.476146473688119
0.95,0.205882352941177,0.335875489620975,0.380026529874475,0.3,0.458242157437848
1,0.213855421686747,0.345437054508112,0.382367778557849,0.29,0.440707523805141
1.05,0.222222222222222,0.35428126063498,0.385465532872185,0.28,0.423496517142798
1.1,0.222222222222222,0.371151796855693,0.374506154764829,0.28,0.406625980922085
1.15,0.231012658227848,0.378902824244117,0.378761754483691,0.27,0.390084517528035
1.2,0.24025974025974,0.385984986835449,0.383651518112057,0.26,0.373755272904811
1.25,0.24025974025974,0.402067694620259,0.374045583627649,0.26,0.357672565120001
1.3,0.25,0.408120411708224,0.379869694895342,0.25,0.341879588291776
1.35,0.25,0.423817350620078,0.371020425297654,0.25,0.326182649379922
1.4,0.26027397260274,0.428880179123231,0.377671631159574,0.24,0.31084584827403
1.45,0.26027397260274,0.444197328377632,0.369460008151548,0.24,0.295528699019628
1.5,0.27112676056338,0.44831384089275,0.376857741993747,0.23,0.28055939854387
1.55,0.27112676056338,0.463257635589175,0.369189163037525,0.23,0.265615603847445
1.6,0.282608695652174,0.466475830151859,0.377272104705186,0.22,0.250915474195967
1.65,0.282608695652174,0.481053199844104,0.370070442585742,0.22,0.236338104503722
1.7,0.294776119402985,0.48342594,0.378791235311211,0.21,0.221797940597015
1.75,0.294776119402985,0.49764435,0.371994579626485,0.21,0.207579530597015
1.8,0.294776119402985,0.51186276,0.365437529642951,0.21,0.193361120597015
1.85,0.307692307692308,0.51309732794697,0.37487352950389,0.2,0.179210364360723
1.9,0.307692307692308,0.526964823296888,0.368645155319821,0.2,0.165342869010805
1.95,0.307692307692308,0.540832318646806,0.362620362616722,0.2,0.151475373660886
2,0.307692307692308,0.554699813996724,0.356789330461043,0.2,0.137607878310968
2.05,0.321428571428572,0.554535329781943,0.366942714173931,0.19,0.124036098789486
2.1,0.321428571428572,0.568060581727844,0.361363115320698,0.19,0.110510846843585
2.15,0.321428571428572,0.581585833673745,0.355950657721957,0.19,0.0969855948976835
2.2,0.336065573770492,0.5804636053955,0.366671985365812,0.18,0.0834708208340083
2.25,0.336065573770492,0.593655960063579,0.361469065242142,0.18,0.0702784661659288
2.3,0.336065573770492,0.606848314731659,0.356411733742031,0.18,0.0570861114978493
2.35,0.336065573770492,0.620040669399738,0.351493964369666,0.18,0.0438937568297697
2.4,0.336065573770492,0.633233024067818,0.346710058716655,0.18,0.0307014021616902
2.45,0.351694915254237,0.630606911601439,0.358031417268157,0.17,0.0176981731443238
2.5,0.351694915254237,0.643476440409631,0.353401364752531,0.17,0.00482864433613128
