"v","NCE","CE","NCE_TPE","OptimalRITR","Fitness"
0,0.171052631578947,0.2227384845,0.434374023675676,0.35,0.606208883921053
0.05,0.171052631578947,0.224999846887378,0.43189385467636,0.35,0.603947521533674
0.1,0.171052631578947,0.231651520533115,0.424760039552182,0.35,0.597295847887938
0.15,0.164948453608247,0.2481943113,0.399252915986269,0.36,0.586857235091753
0.2,0.153465346534653,0.273279890145162,0.359618182803052,0.38,0.573254763320185
0.25,0.148058252427185,0.294809907756427,0.334316769048829,0.39,0.557131839816388
0.3,0.142857142857143,0.318197835,0.309848390578286,0.4,0.538945022142857
0.35,0.13785046728972,0.343063900490498,0.28664243891486,0.41,0.519085632219783
0.4,0.128378378378378,0.373743641938306,0.255671675775962,0.43,0.497877979683315
0.45,0.123893805309734,0.400525007543349,0.236249734512182,0.44,0.475581187146916
0.5,0.119565217391304,0.428091404468279,0.218321504057264,0.45,0.452343378140416
0.55,0.115384615384615,0.4563005770601,0.201832436644358,0.46,0.428314807555284
0.6,0.111344537815126,0.485040389869617,0.186699114357874,0.47,0.403615072315257
0.65,0.107438016528926,0.51422187829583,0.172824429279312,0.48,0.378340105175244
0.7,0.103658536585366,0.543773939762698,0.16010710054285,0.49,0.352567523651936
0.75,0.1,0.573639304917065,0.148447395022937,0.5,0.326360695082935
0.8,0.0964566929133858,0.603771483145862,0.137750373679942,0.51,0.299771823940753
0.85,0.0930232558139535,0.634132440983984,0.127927562451323,0.52,0.272844303202062
0.9,0.0896946564885496,0.664690829401303,0.118897643401435,0.53,0.245614514110148
0.95,0.0864661654135339,0.695420622217813,0.110586553937655,0.54,0.218113212368653
1,0.0833333333333333,0.726300063372681,0.102927242962524,0.55,0.190366603293986
1.05,0.0802919708029197,0.7573108473,0.095859241477688,0.56,0.16239718189708
1.1,0.0773381294964028,0.788437476249741,0.0893281457494419,0.57,0.134224394253857
1.15,0.074468085106383,0.819666752775546,0.0832850728451502,0.58,0.105865162118071
1.2,0.0716783216783217,0.850987376163648,0.0776861238539274,0.59,0.0773343021580301
1.25,0.0716783216783217,0.879654447420831,0.0753451620784556,0.59,0.0486672309008475
1.3,0.0689655172413793,0.911179932850387,0.0703625336779581,0.6,0.0198545499082339
1.35,0.0663265306122449,0.942768153007385,0.0657287484404646,0.61,-0.00909468361962984
1.4,0.0637583892617449,0.974413006765822,0.0614141263241392,0.62,-0.0381713960275667
1.45,0.0637583892617449,1.00359012012258,0.0597353054800463,0.62,-0.0673485093843281
1.5,0.0612582781456953,1.03537096782497,0.0558605183755365,0.63,-0.0966292459706682
1.55,0.0588235294117647,1.06719208671903,0.0522404206203585,0.64,-0.126015616130793
1.6,0.0588235294117647,1.09667058095897,0.0509076843263973,0.64,-0.155494110370736
1.65,0.0564516129032258,1.1285934903496,0.0476366787629197,0.65,-0.185045103252822
1.7,0.054140127388535,1.1605456332742,0.0445713032471839,0.66,-0.214685760662736
1.75,0.054140127388535,1.19026407650946,0.0435068663533485,0.66,-0.244404203897992
1.8,0.0518867924528301,1.22229393627677,0.0407216898536545,0.67,-0.274180728729595
1.85,0.0496894409937888,1.25434539048171,0.0381043817192872,0.68,-0.304034831475501
1.9,0.0496894409937888,1.28425844566884,0.0372499117024022,0.68,-0.333947886662625
1.95,0.0475460122699387,1.3163702524796,0.034859920288926,0.69,-0.363916264749541
2,0.0454545454545454,1.34849824808504,0.0326083821957308,0.7,-0.393952793539585
2.05,0.0454545454545454,1.37857169326421,0.0319197387089175,0.7,-0.424026238718759
2.1,0.0434131736526946,1.41074724572557,0.0298544597103367,0.71,-0.454160419378262
2.15,0.0434131736526946,1.44092684553768,0.0292474588648322,0.71,-0.484340019190371
2.2,0.0414201183431953,1.47314257504893,0.0273479061143569,0.72,-0.514562693392122
2.25,0.0414201183431953,1.50341658357842,0.0268119719654983,0.72,-0.544836701921617
2.3,0.0394736842105263,1.53566639944584,0.0250604277169408,0.73,-0.575140083656364
2.35,0.0375722543352601,1.56792447334972,0.0234022615476998,0.74,-0.605496727684983
2.4,0.0375722543352601,1.59830363924311,0.0229676679525324,0.74,-0.635875893578367
2.45,0.0357142857142858,1.63058927426177,0.021433240960488,0.75,-0.666303559976056
2.5,0.0357142857142858,1.66104146393587,0.0210485720892058,0.75,-0.696755749650159
