"h","NCE","CE","NCE_TPE","OptimalRITR","Fitness"
0.75,0.0734094616639478,0.650975889178197,0.101340345409532,0.71,0.275614649157855
1,0.290322580645161,0.516482758730405,0.359842165732144,0.55,0.193194660624434
1.25,0.415873015873016,0.442670783144511,0.484393476895319,0.46,0.141456200982473
1.5,0.5,0.394675836727814,0.558861633984326,0.4,0.105324163272186
1.75,0.565891472868217,0.355755991627197,0.613999923688862,0.35,0.0783525355045863
2,0.609756097560976,0.333027835864994,0.646761231224201,0.32,0.0572160665740301
2.25,0.649016641452345,0.3108933490573,0.676122394671361,0.29,0.0400900094903547
2.5,0.677611940298507,0.296532645060613,0.695596886214488,0.27,0.0258554146408793
2.75,0.703703703703704,0.282544900413386,0.713515538340025,0.25,0.0137513958829106
3,0.720930232558139,0.27570868657922,0.72336150908309,0.24,0.00336108086264075
3.25,0.736766809728183,0.26898830453565,0.732550895619818,0.23,-0.00575511426383318
3.5,0.751412429378531,0.26239265446042,0.741180372200518,0.22,-0.0138050838389516
3.75,0.765034965034965,0.25593138,0.749324371714491,0.21,-0.0209663450349651
4,0.777777777777778,0.249614916298526,0.757040401651925,0.2,-0.0273926940763035
4.25,0.789764868603043,0.243454535026219,0.764372858106356,0.19,-0.0332194036292617
4.5,0.801104972375691,0.237462384025432,0.771355817644515,0.18,-0.0385673564011223
4.75,0.805929919137466,0.237462384025432,0.772413134249124,0.18,-0.043392303162898
5,0.816216216216216,0.231651518547467,0.778930574096062,0.17,-0.0478677347636836
5.25,0.820343461030383,0.231651518547467,0.779797885879241,0.17,-0.0519949795778505
5.5,0.829787234042553,0.226035920330709,0.785914980747999,0.16,-0.0558231543732617
5.75,0.833333333333333,0.226035920330709,0.786631602202048,0.16,-0.0593692536640419
6,0.842105263157895,0.2206305,0.792393831422026,0.15,-0.0627357631578947
6.25,0.845161290322581,0.2206305,0.792989116632975,0.15,-0.0657917903225806
6.5,0.848101265822785,0.2206305,0.793558583121048,0.15,-0.0687317658227848
6.75,0.856041131105398,0.215451077502171,0.798924270497352,0.14,-0.0714922086075692
7,0.858585858585859,0.215451077502171,0.799400681426368,0.14,-0.0740369360880294
7.25,0.861042183622829,0.215451077502171,0.799858405730277,0.14,-0.0764932611249996
7.5,0.863414634146341,0.215451077502171,0.800298521701129,0.14,-0.0788657116485122
7.75,0.870485678704857,0.210514334617716,0.805259637351274,0.13,-0.0810000133225726
8,0.872549019607843,0.210514334617716,0.805630636659992,0.13,-0.0830633542255589
8.25,0.874547647768396,0.210514334617716,0.805988654993899,0.13,-0.0850619823861114
8.5,0.876484560570071,0.210514334617716,0.806334361930195,0.13,-0.086998895187787
8.75,0.882926829268293,0.205837733125707,0.810943761180924,0.12,-0.0887645623939993
9,0.884615384615385,0.205837733125707,0.811236512806616,0.12,-0.0904531177410912
9.25,0.886255924170616,0.205837733125707,0.811520072705765,0.12,-0.0920936572963227
9.5,0.88785046728972,0.205837733125707,0.811794867085956,0.12,-0.0936882004154262
9.75,0.889400921658986,0.205837733125707,0.812061296205646,0.12,-0.0952386547846928
10,0.895238095238095,0.201439392108933,0.816318476094339,0.11,-0.0966774873470281
