"v","NCE_TPE","OptimalRITR","Fitness"
0,0.993105367477004,0.01,NA
0.05,0.915893471704617,0.07,0.135558621052308
0.1,0.833441649009664,0.11,0.179657778454734
0.15,0.756493358516246,0.14,0.219701791038337
0.2,0.677977590949689,0.17,0.257666178702192
0.25,0.601621509160416,0.2,0.294299828619666
0.3,0.544146326057756,0.22,0.330019172120246
0.35,0.477350539232482,0.25,0.364965518217752
0.4,0.429283518071724,0.27,0.39938595382924
0.45,0.385637706521082,0.29,0.43337405038032
0.5,0.335816388405537,0.32,0.466984745026737
0.55,0.301263786506437,0.34,0.500251996767269
0.6,0.270299369059275,0.36,0.533254652931122
0.65,0.242584924180596,0.38,0.566025140497188
0.7,0.225009329210605,0.39,0.598575129499381
0.75,0.202182934929076,0.41,0.630934783004315
0.8,0.18174164291582,0.43,0.663131854732134
0.85,0.163422842433337,0.45,0.695185825485245
0.9,0.146989926682702,0.47,0.727113300287865
0.95,0.136897994432708,0.48,0.758900146843366
1,0.123226764072843,0.5,0.790568909029883
1.05,0.110914511646132,0.52,0.822149003429903
1.1,0.103483982358592,0.53,0.853619640413818
1.15,0.0931533914243722,0.55,0.884998382979249
1.2,0.086987406723746,0.56,0.916310206516329
1.25,0.0782700489433763,0.58,0.947516718990749
1.3,0.0703625310327031,0.6,0.978674782268884
1.35,0.0657287459570982,0.61,1.00974079487474
1.4,0.059000586187178,0.63,1.04076263398631
1.45,0.0551047515113309,0.64,1.07170346314688
1.5,0.0493505262003456,0.66,1.10260789164021
1.55,0.0460597616454284,0.67,1.13343367010786
1.6,0.0429814689751165,0.68,1.16422695226452
1.65,0.0383228512871346,0.7,1.19495675297212
1.7,0.0357060197240453,0.71,1.225646289611
1.75,0.0316758010804394,0.73,1.25629483087175
1.8,0.0294427995247401,0.74,1.2868891902462
1.85,0.0273438650843942,0.75,1.3174546166749
1.9,0.0240297704438784,0.77,1.34797410636515
1.95,0.0222295255642936,0.78,1.37845404986689
2,0.0205332210098967,0.79,1.40890698646984
2.05,0.017785880475574,0.81,1.43931839576164
2.1,0.0163245377628507,0.82,1.46969456613997
2.15,0.0149446062795945,0.83,1.5000457160778
2.2,0.0126504318482566,0.85,1.53036636900453
2.25,0.0114571729483368,0.86,1.56064848557159
2.3,0.0103282756439263,0.87,1.59090751231168
2.35,0.00925964672643745,0.88,1.62114364805979
2.4,0.00742064180249943,0.9,1.65134855942769
2.45,0.00649271839112415,0.91,1.68152409785513
2.5,0.00561297208663903,0.92,1.71167858776603
