"delta","growth_curve","pred_curve","fitness","NCE_CE"
1,0.0666666666666667,0,0.0666666666666667,Inf
0.99,0.076,0.01,0.0660000000000001,92.3999999999999
0.98,0.0853333333333333,0.02,0.0653333333333334,45.7333333333333
0.97,0.0946666666666667,0.03,0.0646666666666667,30.1777777777778
0.96,0.104,0.04,0.0640000000000001,22.4
0.95,0.113333333333333,0.05,0.0633333333333334,17.7333333333333
0.94,0.122666666666667,0.0600000000000001,0.0626666666666666,14.6222222222222
0.93,0.132,0.0700000000000001,0.0620000000000001,12.4
0.92,0.141333333333333,0.08,0.0613333333333334,10.7333333333333
0.91,0.150666666666667,0.09,0.0606666666666666,9.43703703703704
0.9,0.16,0.1,0.0599999999999999,8.4
0.89,0.169333333333333,0.11,0.0593333333333333,7.55151515151515
0.88,0.178666666666667,0.12,0.0586666666666666,6.84444444444444
0.87,0.188,0.13,0.0579999999999999,6.24615384615385
0.86,0.197333333333333,0.14,0.0573333333333333,5.73333333333333
0.85,0.206666666666667,0.15,0.0566666666666666,5.28888888888889
0.84,0.216,0.16,0.0559999999999999,4.9
0.83,0.225333333333333,0.17,0.0553333333333333,4.55686274509804
0.82,0.234666666666667,0.18,0.0546666666666666,4.25185185185185
0.81,0.244,0.19,0.054,3.97894736842105
0.8,0.253333333333333,0.2,0.0533333333333333,3.73333333333333
0.79,0.262666666666667,0.21,0.0526666666666666,3.51111111111111
0.78,0.272,0.22,0.052,3.30909090909091
0.77,0.281333333333333,0.23,0.0513333333333333,3.12463768115942
0.76,0.290666666666667,0.24,0.0506666666666666,2.95555555555556
0.75,0.3,0.25,0.05,2.8
0.74,0.309333333333333,0.26,0.0493333333333333,2.65641025641026
0.73,0.318666666666667,0.27,0.0486666666666666,2.52345679012346
0.72,0.328,0.28,0.048,2.4
0.71,0.337333333333333,0.29,0.0473333333333333,2.28505747126437
0.7,0.346666666666667,0.3,0.0466666666666666,2.17777777777778
0.69,0.356,0.31,0.046,2.07741935483871
0.68,0.365333333333333,0.32,0.0453333333333333,1.98333333333333
0.67,0.374666666666667,0.33,0.0446666666666666,1.89494949494949
0.66,0.384,0.34,0.044,1.81176470588235
0.65,0.393333333333333,0.35,0.0433333333333333,1.73333333333333
0.64,0.402666666666667,0.36,0.0426666666666667,1.65925925925926
0.63,0.412,0.37,0.0419999999999999,1.58918918918919
0.62,0.421333333333333,0.38,0.0413333333333333,1.52280701754386
0.61,0.430666666666667,0.39,0.0406666666666667,1.45982905982906
0.6,0.44,0.4,0.0399999999999999,1.4
0.59,0.449333333333333,0.41,0.0393333333333333,1.34308943089431
0.58,0.458666666666667,0.42,0.0386666666666666,1.28888888888889
0.57,0.468,0.43,0.038,1.23720930232558
0.56,0.477333333333333,0.44,0.0373333333333333,1.18787878787879
0.55,0.486666666666667,0.45,0.0366666666666666,1.14074074074074
0.54,0.496,0.46,0.036,1.09565217391304
0.53,0.505333333333333,0.47,0.0353333333333333,1.05248226950355
0.52,0.514666666666667,0.48,0.0346666666666666,1.01111111111111
0.51,0.524,0.49,0.034,0.971428571428571
0.5,0.533333333333333,0.5,0.0333333333333333,0.933333333333333
0.49,0.542666666666667,0.51,0.0326666666666666,0.896732026143791
0.48,0.552,0.52,0.032,0.861538461538461
0.47,0.561333333333333,0.53,0.0313333333333333,0.827672955974843
0.46,0.570666666666667,0.54,0.0306666666666666,0.795061728395062
0.45,0.58,0.55,0.03,0.763636363636363
0.44,0.589333333333333,0.56,0.0293333333333333,0.733333333333333
0.43,0.598666666666667,0.57,0.0286666666666666,0.704093567251462
0.42,0.608,0.58,0.028,0.675862068965517
0.41,0.617333333333333,0.59,0.0273333333333333,0.648587570621469
0.4,0.626666666666667,0.6,0.0266666666666666,0.622222222222222
0.39,0.636,0.61,0.026,0.59672131147541
0.38,0.645333333333333,0.62,0.0253333333333333,0.572043010752688
0.37,0.654666666666667,0.63,0.0246666666666666,0.548148148148148
0.36,0.664,0.64,0.024,0.525
0.35,0.673333333333333,0.65,0.0233333333333333,0.502564102564103
0.34,0.682666666666667,0.66,0.0226666666666666,0.480808080808081
0.33,0.692,0.67,0.022,0.459701492537313
0.32,0.701333333333333,0.68,0.0213333333333333,0.43921568627451
0.31,0.710666666666667,0.69,0.0206666666666666,0.419323671497584
0.3,0.72,0.7,0.02,0.4
0.29,0.729333333333333,0.71,0.0193333333333333,0.381220657276995
0.28,0.738666666666667,0.72,0.0186666666666667,0.362962962962963
0.27,0.748,0.73,0.018,0.345205479452055
0.26,0.757333333333333,0.74,0.0173333333333333,0.327927927927928
0.25,0.766666666666667,0.75,0.0166666666666667,0.311111111111111
0.24,0.776,0.76,0.016,0.294736842105263
0.23,0.785333333333333,0.77,0.0153333333333333,0.278787878787879
0.22,0.794666666666667,0.78,0.0146666666666667,0.263247863247863
0.21,0.804,0.79,0.014,0.248101265822785
0.2,0.813333333333333,0.8,0.0133333333333333,0.233333333333333
0.19,0.822666666666667,0.81,0.0126666666666667,0.218930041152263
0.18,0.832,0.82,0.012,0.204878048780488
0.17,0.841333333333333,0.83,0.0113333333333333,0.191164658634538
0.16,0.850666666666667,0.84,0.0106666666666667,0.177777777777778
0.15,0.86,0.85,0.01,0.164705882352941
0.14,0.869333333333333,0.86,0.0093333333333333,0.151937984496124
0.13,0.878666666666667,0.87,0.00866666666666671,0.139463601532567
0.12,0.888,0.88,0.00800000000000001,0.127272727272727
0.11,0.897333333333333,0.89,0.0073333333333333,0.115355805243446
0.1,0.906666666666667,0.9,0.00666666666666671,0.103703703703704
0.09,0.916,0.91,0.00600000000000001,0.0923076923076923
0.08,0.925333333333333,0.92,0.0053333333333333,0.0811594202898551
0.07,0.934666666666667,0.93,0.00466666666666671,0.0702508960573476
0.0599999999999999,0.944,0.94,0.004,0.0595744680851063
0.0499999999999999,0.953333333333333,0.95,0.0033333333333333,0.0491228070175438
0.04,0.962666666666667,0.96,0.00266666666666671,0.0388888888888889
0.03,0.972,0.97,0.002,0.0288659793814433
0.02,0.981333333333333,0.98,0.0013333333333333,0.0190476190476191
0.01,0.990666666666667,0.99,0.000666666666666704,0.0094276094276094
0,1,1,0,0
