"h","NCE_TPE","OptimalRITR","Fitness","inverse_h"
15,0.40983606557377,0.64,0.756,0.0666666666666667
14.9,0.411201118467042,0.64,0.755434318038969,0.0671140939597315
14.8,0.412575294991336,0.64,0.754862199747156,0.0675675675675676
14.7,0.413958686923045,0.64,0.754283534647171,0.0680272108843537
14.6,0.415351387273634,0.64,0.75369820971867,0.0684931506849315
14.5,0.416753490310482,0.64,0.753106109324759,0.0689655172413793
14.4,0.418165091578155,0.64,0.752507115135834,0.0694444444444444
14.3,0.419586287920111,0.64,0.751901106050748,0.0699300699300699
14.2,0.421017177500842,0.64,0.751287958115183,0.0704225352112676
14.1,0.422457859828482,0.64,0.75066754443713,0.0709219858156028
14,0.40786202610317,0.63,0.750058252427184,0.0714285714285714
13.9,0.409313107635054,0.63,0.749444245482663,0.0719424460431655
13.8,0.410774551277704,0.63,0.748822797248608,0.072463768115942
13.7,0.412246468421921,0.63,0.748193771626298,0.072992700729927
13.6,0.413728972060817,0.63,0.747557029177719,0.0735294117647059
13.5,0.415222176818739,0.63,0.746912427022519,0.0740740740740741
13.4,0.416726198980807,0.63,0.746259818731118,0.0746268656716418
13.3,0.418241156523101,0.63,0.745599054213815,0.075187969924812
13.2,0.404058309524306,0.62,0.744941489361702,0.0757575757575758
13.1,0.405585036790488,0.62,0.744286383405821,0.0763358778625954
13,0.407123345240597,0.62,0.743622895622896,0.0769230769230769
12.9,0.408673367152153,0.62,0.74295086411386,0.0775193798449612
12.8,0.410235236824833,0.62,0.742270122783083,0.078125
12.7,0.411809090619254,0.62,0.741580501201511,0.078740157480315
12.6,0.413395066996672,0.62,0.740881824464409,0.0793650793650794
12.5,0.414993306559572,0.62,0.740173913043478,0.08
12.4,0.401205985730221,0.61,0.739476353666895,0.0806451612903226
12.3,0.402817876132843,0.61,0.738773158530274,0.0813008130081301
12.2,0.404442770684927,0.61,0.738060437651962,0.0819672131147541
12.1,0.406080827393014,0.61,0.737337996153174,0.0826446280991736
12,0.407732206833859,0.61,0.736605633802817,0.0833333333333333
11.9,0.409397072206905,0.61,0.735863144832477,0.0840336134453781
11.8,0.41107558938805,0.61,0.735110317743663,0.0847457627118644
11.7,0.397667020148462,0.6,0.734366197183099,0.0854700854700855
11.6,0.399361022364217,0.6,0.733617021276596,0.0862068965517241
11.5,0.401069518716578,0.6,0.732857142857143,0.0869565217391304
11.4,0.402792696025779,0.6,0.732086330935252,0.087719298245614
11.3,0.404530744336569,0.6,0.731304347826087,0.0884955752212389
11.2,0.406283856988082,0.6,0.730510948905109,0.0892857142857143
11.1,0.393237907601089,0.59,0.729712844532517,0.0900900900900901
11,0.395008167965507,0.59,0.728921960072595,0.0909090909090909
10.9,0.396794438959565,0.59,0.728119217407204,0.0917431192660551
10.8,0.39859693877551,0.59,0.727304347826087,0.0925925925925926
10.7,0.400415889588373,0.59,0.726477074438463,0.0934579439252337
10.6,0.402251517647251,0.59,0.725637111859334,0.0943396226415094
10.5,0.389554564504863,0.58,0.72479112754159,0.0952380952380952
10.4,0.391409506122185,0.58,0.723952309985097,0.0961538461538462
10.3,0.393282197606675,0.58,0.723100262861434,0.0970873786407767
10.2,0.395172894954869,0.58,0.722234670704012,0.0980392156862745
10.1,0.39708185910988,0.58,0.721355207935902,0.099009900990099
10,0.399009356081453,0.58,0.720461538461538,0.1
9.9,0.386649337540802,0.57,0.719573140574472,0.101010101010101
9.8,0.388598916831651,0.57,0.718678941311853,0.102040816326531
9.7,0.390568256256629,0.57,0.717769870431251,0.103092783505155
9.6,0.392557657766857,0.57,0.716845553822153,0.104166666666667
9.5,0.39456742949703,0.57,0.715905604719764,0.105263157894737
9.4,0.382530383841917,0.56,0.714965732087227,0.106382978723404
9.3,0.384564672790401,0.56,0.714023566378633,0.10752688172043
9.2,0.386620714033228,0.56,0.713064976228209,0.108695652173913
9.1,0.388698858335925,0.56,0.712089528377298,0.10989010989011
9,0.390799464046449,0.56,0.711096774193549,0.111111111111111
8.9,0.379075056861259,0.55,0.71010989010989,0.112359550561798
8.8,0.381203215968949,0.55,0.709112903225806,0.113636363636364
8.7,0.383355405311215,0.55,0.708097660223805,0.114942528735632
8.6,0.385532034207206,0.55,0.707063655030801,0.116279069767442
8.5,0.374106301612814,0.54,0.706020366598778,0.117647058823529
8.4,0.376312913944205,0.54,0.704980263157895,0.119047619047619
8.3,0.378545711497695,0.54,0.703920298879203,0.120481927710843
8.2,0.380805163153857,0.54,0.702839899413244,0.121951219512195
8.1,0.369668748901456,0.53,0.701744123153734,0.123456790123457
8,0.371961147605412,0.53,0.700655462184874,0.125
7.9,0.374282155074278,0.53,0.699545088054318,0.126582278481013
7.8,0.376632310219953,0.53,0.69841234462066,0.128205128205128
7.7,0.365776797370909,0.52,0.697267461669506,0.12987012987013
7.6,0.368163487244551,0.52,0.696123924268502,0.131578947368421
7.5,0.370581527936146,0.52,0.69495652173913,0.133333333333333
7.4,0.37303154125155,0.52,0.693764499121265,0.135135135135135
7.3,0.362449647926361,0.51,0.692573301289054,0.136986301369863
7.2,0.364940521850635,0.51,0.691367491166078,0.138888888888889
7.1,0.36746586890547,0.51,0.690135298057602,0.140845070422535
7,0.357142857142857,0.5,0.688888888888889,0.142857142857143
6.9,0.359712230215827,0.5,0.687640449438202,0.144927536231884
6.8,0.36231884057971,0.5,0.686363636363636,0.147058823529412
6.7,0.352247338016546,0.49,0.685064976228209,0.149253731343284
6.6,0.354901699472138,0.49,0.683769125057261,0.151515151515152
6.5,0.357596368572387,0.49,0.682442641946698,0.153846153846154
6.4,0.347769637392191,0.48,0.68109426987061,0.15625
6.3,0.35051642753657,0.48,0.679745556594949,0.158730158730159
6.2,0.353306953080837,0.48,0.678363636363636,0.161290322580645
6.1,0.343719010440282,0.47,0.67696763524687,0.163934426229508
6,0.3465667767815,0.47,0.67555980861244,0.166666666666667
5.9,0.349462125740935,0.47,0.674115822631451,0.169491525423729
5.8,0.340107888137037,0.46,0.672673765730881,0.172413793103448
5.7,0.343066477333747,0.46,0.671199607650809,0.175438596491228
5.6,0.333926981300089,0.45,0.669705882352941,0.178571428571429
5.5,0.336952452265069,0.45,0.668198757763975,0.181818181818182
5.4,0.328021375065604,0.44,0.66665606361829,0.185185185185185
5.3,0.331117853874681,0.44,0.665112903225807,0.188679245283019
5.2,0.334273350512958,0.44,0.663525562372188,0.192307692307692
5.1,0.325561252456852,0.43,0.66194113130279,0.196078431372549
5,0.328796452056889,0.43,0.660311688311688,0.2
4.9,0.320282092265645,0.42,0.658681936491411,0.204081632653061
4.8,0.323602652925368,0.42,0.657006342494715,0.208333333333333
4.7,0.31528081523929,0.41,0.655333156639279,0.212765957446809
4.6,0.307125307125307,0.4,0.653617021276596,0.217391304347826
4.5,0.31055900621118,0.4,0.651891891891892,0.222222222222222
4.4,0.302584537464621,0.39,0.650136807817589,0.227272727272727
4.3,0.306119565592789,0.39,0.648354402428926,0.232558139534884
4.2,0.298321861025976,0.38,0.646561598224195,0.238095238095238
